C101_200_100.csv,obj,"(1010.85, 974.84)","(1045.8700000000001, 1012.9200000000006)","(978.8899999999999, 956.1700000000011)","(950.59, 947.78)","(1001.0500000000001, 956.9000000000001)","(950.75, 950.75)","(998.62, 984.1900000000402)","(1029.09, 1012.9700000000016)","(1015.6099999999999, 972.9400000000002)","(968.48, 940.33)","(957.0100000000001, 947.7800000000001)","(1001.19, 990.3499999999999)","(1019.2300000000001, 1000.1500000000001)","(964.45, 944.64)","(1061.09, 1018.1600000000001)","(977.7199999999999, 962.06)","(1021.47, 1006.9000000000001)","(931.6099999999999, 903.9)","(991.26, 943.03)","(943.6100000000001, 937.3500000000004)"
C101_200_100.csv,time,"(15.813155174255371, 18.424691915512085)","(12.122119903564453, 16.365405321121216)","(18.219902276992798, 21.271321773529053)","(18.682506561279297, 21.467469692230225)","(15.67663311958313, 17.713084936141968)","(18.671095371246338, 21.54831337928772)","(15.377670288085938, 17.893836498260498)","(12.410860538482666, 16.124234199523926)","(13.067289590835571, 16.849032640457153)","(16.40029740333557, 18.476140022277832)","(18.163771867752075, 20.48241376876831)","(13.3366117477417, 18.759512186050415)","(12.766857624053955, 16.026875257492065)","(26.54888343811035, 29.50036120414734)","(12.704869031906128, 16.485148906707764)","(21.45350408554077, 26.460209608078003)","(15.990334749221802, 20.20634913444519)","(17.353575944900513, 19.15129852294922)","(14.295833587646484, 15.943324565887451)","(18.953208446502686, 22.054783821105957)"
C102_200_100.csv,obj,"(1016.82, 985.7200000000057)","(1039.74, 1011.5699999999999)","(983.27, 983.27)","(1002.8800000000001, 982.83)","(973.7900000000001, 957.0899999999999)","(1221.61, 1151.5700000000002)","(1051.2, 1019.95)","(1060.4099999999999, 1014.55)","(1180.95, 1122.960000000001)","(1146.64, 1099.85)","(968.5300000000001, 962.739999999995)","(1061.6499999999999, 1061.6499999999999)","(1137.3, 1046.0099999999998)","(1003.9099999999999, 993.57)","(970.0500000000002, 966.1699894226117)","(1074.32, 1046.56)","(1034.21, 1008.7700000000001)","(1049.2800000000002, 1033.18)","(999.56, 975.65)","(1041.3400000000001, 999.8400000000001)"
C102_200_100.csv,time,"(19.997100830078125, 23.965927839279175)","(19.254724264144897, 23.081748962402344)","(24.46297550201416, 27.02725100517273)","(24.061593294143677, 27.469202756881714)","(33.29754638671875, 35.45564937591553)","(15.246635675430298, 19.921980619430542)","(25.21610164642334, 30.29125142097473)","(23.154099464416504, 26.495635509490967)","(18.90035080909729, 23.3190279006958)","(21.50855851173401, 27.106884717941284)","(22.91222333908081, 25.725248098373413)","(20.097522497177124, 23.820945978164673)","(21.741416215896606, 24.17547345161438)","(22.34044647216797, 25.788367986679077)","(26.854211568832397, 29.607466220855713)","(17.156253814697266, 21.22458028793335)","(22.913561582565308, 26.466964960098267)","(20.59776496887207, 23.7403621673584)","(30.35722517967224, 34.52919340133667)","(19.716200828552246, 22.193213939666748)"
C103_200_100.csv,obj,"(1009.1099999999999, 986.98)","(984.89, 968.9300000000001)","(986.32, 984.3799999999993)","(912.8800000000001, 912.8800000000001)","(973.54, 942.26)","(1032.22, 1008.29)","(1082.3999999999999, 1044.96)","(909.0400000000001, 908.1099999999999)","(890.6600000000001, 890.6600000000001)","(1100.6100000000001, 1057.2799999999997)","(1235.0799999999997, 1161.4000000000049)","(1013.13, 991.48)","(1043.54, 1016.87)","(922.75, 914.8800000000001)","(954.6399999999999, 952.19)","(1054.0300000000002, 1038.3900000000008)","(988.81, 949.77)","(1053.42, 1049.3600000000001)","(959.24, 959.24)","(989.3499999999999, 972.3599999999999)"
C103_200_100.csv,time,"(25.54020118713379, 28.16934633255005)","(34.630717039108276, 39.16752910614014)","(29.974963903427124, 33.31875562667847)","(41.045671701431274, 43.55151700973511)","(47.24549198150635, 49.431511878967285)","(26.76957631111145, 31.15272092819214)","(24.708075284957886, 29.54043960571289)","(41.46642875671387, 43.9864227771759)","(35.63677406311035, 37.07391619682312)","(31.549893379211426, 36.97293186187744)","(17.98319673538208, 21.158308029174805)","(33.05733799934387, 37.94256234169006)","(22.342260122299194, 25.792805671691895)","(30.160444021224976, 31.65703845024109)","(29.615020036697388, 31.808747053146362)","(20.35900068283081, 23.417027950286865)","(30.711848735809326, 33.40288233757019)","(25.07717800140381, 29.167340993881226)","(29.265782356262207, 31.299853324890137)","(21.394287824630737, 23.510611057281494)"
C104_200_100.csv,obj,"(1009.86, 994.6600000000001)","(960.6499999999999, 935.6999999999999)","(924.7300000000001, 924.7300000000001)","(916.8200000000002, 916.8200000000002)","(936.33, 934.0400000000001)","(938.6700000000002, 938.6700000000002)","(980.35, 961.9300000000001)","(976.01, 958.54)","(893.45, 893.45)","(856.0400000000001, 856.0400000000001)","(928.9499999999999, 928.9499999999999)","(917.69, 914.03)","(914.21, 914.21)","(896.3499999999999, 896.3499999999999)","(901.13, 901.13)","(873.36, 873.36)","(968.2299999999999, 968.2299999999999)","(976.5600000000001, 950.34)","(927.03, 927.03)","(956.78, 938.4300000000001)"
C104_200_100.csv,time,"(27.038478136062622, 28.7941677570343)","(52.055628538131714, 54.17657780647278)","(44.02455234527588, 46.20355701446533)","(51.910014152526855, 53.261345863342285)","(29.539217948913574, 30.37227439880371)","(42.28884196281433, 43.90739107131958)","(33.57780122756958, 35.181214570999146)","(36.675557374954224, 38.06771445274353)","(61.80887460708618, 63.44256901741028)","(46.18397498130798, 46.62407040596008)","(49.294137716293335, 51.68425726890564)","(46.01934266090393, 46.97625398635864)","(36.22382640838623, 37.18136143684387)","(34.571305990219116, 35.523956298828125)","(39.928929805755615, 41.122843503952026)","(43.127408504486084, 43.61179566383362)","(33.50483059883118, 36.052916526794434)","(40.97242712974548, 42.54783368110657)","(35.34203505516052, 36.73488163948059)","(34.78099274635315, 36.250121116638184)"
C105_200_100.csv,obj,"(988.2599999999999, 973.74)","(1014.4999999999999, 973.8800000000002)","(1310.72, 1204.3300000000302)","(894.42, 894.42)","(984.41, 976.5800000000022)","(935.1700000000001, 920.93)","(1090.5700000000002, 1027.31)","(1017.2400000000001, 998.03)","(971.3, 970.5)","(1275.42, 1178.94)","(987.6000000000001, 987.6000000000001)","(1039.93, 1038.3000000000002)","(1119.3899999999999, 1061.7899999999997)","(1051.53, 1014.5)","(1039.31, 1017.21)","(1213.02, 1120.6200000000006)","(956.92, 956.92)","(1156.25, 1121.05)","(957.9900000000001, 939.2400000000156)","(979.6700000000001, 943.0033333333333)"
C105_200_100.csv,time,"(15.250165700912476, 17.643561363220215)","(20.010850429534912, 22.885916233062744)","(8.9768545627594, 12.525075197219849)","(14.263281106948853, 15.803414106369019)","(14.695576667785645, 17.9107928276062)","(18.129955530166626, 19.815268516540527)","(10.964322805404663, 13.726834058761597)","(13.134119033813477, 16.341779470443726)","(18.546083688735962, 21.87653160095215)","(4.545665502548218, 5.479679346084595)","(16.618146419525146, 20.522941827774048)","(13.352352857589722, 15.060936212539673)","(12.337497234344482, 16.122243881225586)","(15.036742925643921, 18.623867750167847)","(13.848899126052856, 15.98081374168396)","(9.5788893699646, 11.98337197303772)","(21.127619981765747, 23.72062110900879)","(9.515539169311523, 12.415205955505371)","(21.415099382400513, 22.87370228767395)","(17.332538604736328, 18.961968183517456)"
