C101_200_100.csv,obj,"(829.0100000000001, 829.0100000000001)","(896.04, 894.8199999999999)","(833.31, 833.31)","(957.55, 938.44)","(894.8199999999999, 894.8199999999999)","(957.5500000000002, 932.3299999999999)","(838.14, 838.14)","(893.7, 893.34)","(934.99, 924.44)","(894.8199999999999, 894.8199999999999)","(894.8199999999999, 894.8199999999999)","(894.8199999999999, 894.8199999999999)","(959.07, 939.1999999999999)","(833.31, 833.31)","(833.3100000000001, 833.3100000000001)","(833.31, 833.31)","(957.9899999999999, 948.85)","(900.19, 899.3900000000001)","(894.8200000000002, 894.8200000000002)","(833.31, 833.31)"
C101_200_100.csv,time,"(97.45332455635071, 98.63064932823181)","(55.288739919662476, 57.491992473602295)","(61.78789448738098, 62.7984824180603)","(63.77600860595703, 67.00162744522095)","(72.94801378250122, 75.94560956954956)","(36.86038041114807, 39.72992944717407)","(72.84351468086243, 73.83444118499756)","(46.54005479812622, 48.32629323005676)","(41.18177151679993, 43.58001470565796)","(131.63090753555298, 135.40079879760742)","(64.10001230239868, 66.58558320999146)","(83.47139883041382, 85.80902147293091)","(58.630035638809204, 61.45149612426758)","(90.16603803634644, 91.2596161365509)","(100.02945852279663, 101.09677386283875)","(89.48194313049316, 90.5218505859375)","(53.017547845840454, 56.80751276016235)","(73.07956957817078, 75.42901921272278)","(62.47865867614746, 64.47376680374146)","(64.8571207523346, 65.8672046661377)"
C102_200_100.csv,obj,"(839.4899999999999, 839.4899999999999)","(848.78, 848.78)","(839.0699999999999, 839.0699999999999)","(904.5600000000002, 904.5600000000002)","(908.4300000000001, 908.4300000000001)","(908.04, 908.04)","(940.2099999999998, 940.2099999999998)","(843.06, 843.06)","(833.57, 833.57)","(841.2, 841.2)","(846.7, 846.7)","(842.12, 842.12)","(862.63, 862.63)","(841.99, 841.99)","(838.4799999999999, 838.4799999999999)","(900.1500000000001, 900.1500000000001)","(845.58, 845.58)","(842.21, 842.21)","(838.48, 838.48)","(841.1100000000001, 841.1100000000001)"
C102_200_100.csv,time,"(146.04166793823242, 147.05917620658875)","(82.63756227493286, 83.51079797744751)","(114.41740441322327, 115.39004158973694)","(105.17709684371948, 107.57429766654968)","(78.28274035453796, 80.56827354431152)","(73.7609395980835, 76.41813611984253)","(76.46804785728455, 78.6416232585907)","(74.22902226448059, 75.11217093467712)","(129.9205870628357, 130.8216495513916)","(124.56497693061829, 125.50196051597595)","(71.70971703529358, 72.55373334884644)","(100.65507864952087, 101.57773280143738)","(62.9116325378418, 63.84880304336548)","(151.1331341266632, 152.13799023628235)","(157.89342498779297, 158.8612024784088)","(78.2731409072876, 81.11675095558167)","(184.82913255691528, 186.02388191223145)","(176.26045393943787, 177.22621536254883)","(298.95740389823914, 300.0587828159332)","(175.677312374115, 176.63850378990173)"
C103_200_100.csv,obj,"(986.2900000000001, 970.41)","(840.9000000000001, 840.9000000000001)","(980.1100000000001, 958.51)","(877.6, 877.6)","(851.0699999999999, 851.0699999999999)","(841.89, 841.89)","(917.7, 914.48)","(919.07, 919.07)","(841.3600000000001, 841.3600000000001)","(854.7499999999999, 854.7499999999999)","(964.26, 960.8900000000001)","(967.06, 941.63)","(849.11, 849.11)","(883.9499999999999, 883.9499999999999)","(854.2000000000002, 854.2000000000002)","(843.94, 843.94)","(926.09, 917.5100000000001)","(900.86, 900.86)","(848.7900000000001, 848.7900000000001)","(881.0999999999999, 881.0999999999999)"
C103_200_100.csv,time,"(63.22915744781494, 65.8006956577301)","(164.70882606506348, 165.9737901687622)","(100.37253189086914, 104.59132146835327)","(91.32912683486938, 93.1920645236969)","(115.71882057189941, 116.91701674461365)","(200.8629515171051, 202.14054489135742)","(68.9991807937622, 71.61195397377014)","(108.25696229934692, 110.20007514953613)","(121.53132462501526, 122.75042343139648)","(98.17945265769958, 99.34140682220459)","(57.21521258354187, 61.056477546691895)","(70.88331937789917, 74.81168794631958)","(76.3444344997406, 77.51824760437012)","(77.09924149513245, 80.65180826187134)","(97.20036196708679, 98.38939309120178)","(130.1618413925171, 131.29770588874817)","(80.38444566726685, 82.59765887260437)","(108.40931820869446, 110.78010582923889)","(143.77713799476624, 145.0882008075714)","(110.97083020210266, 112.86211276054382)"
C104_200_100.csv,obj,"(901.3700000000001, 901.3700000000001)","(911.69, 911.69)","(941.6899999999998, 941.6899999999998)","(966.0699999999999, 939.2700000000001)","(907.99, 907.99)","(847.8500000000001, 847.8500000000001)","(914.24, 914.24)","(848.25, 848.25)","(957.2, 934.97)","(834.12, 834.12)","(884.3399999999999, 884.3399999999999)","(958.22, 933.5699999999999)","(949.34, 944.0899999999998)","(960.81, 942.07)","(846.3800000000001, 846.3800000000001)","(900.5000000000001, 900.5000000000001)","(842.6600000000001, 842.6600000000001)","(860.1700000000001, 860.1700000000001)","(854.8199999999999, 854.8199999999999)","(845.0, 845.0)"
C104_200_100.csv,time,"(74.3402988910675, 76.09744358062744)","(101.47483348846436, 103.66170930862427)","(129.65110063552856, 132.4143350124359)","(131.32940220832825, 133.95986485481262)","(93.14727735519409, 96.66472935676575)","(162.92259788513184, 163.6016833782196)","(72.65424656867981, 74.73745346069336)","(94.21664428710938, 94.84649562835693)","(105.5736403465271, 107.9833436012268)","(144.5670747756958, 145.45287680625916)","(109.73635363578796, 112.1029942035675)","(99.25235962867737, 101.88737344741821)","(101.08040928840637, 102.61798357963562)","(67.13482713699341, 68.48147940635681)","(113.85951972007751, 114.57650232315063)","(85.10897135734558, 86.33561992645264)","(175.39112639427185, 176.09303498268127)","(131.58151984214783, 132.4016227722168)","(91.83972263336182, 92.33929920196533)","(77.39437651634216, 78.05379939079285)"
C105_200_100.csv,obj,"(829.0100000000001, 829.0100000000001)","(829.01, 829.01)","(829.01, 829.01)","(834.8299999999999, 834.8299999999999)","(829.01, 829.01)","(829.01, 829.01)","(830.6099999999999, 830.6099999999999)","(829.01, 829.01)","(833.31, 833.31)","(829.0099999999999, 829.0099999999999)","(829.0099999999998, 829.0099999999998)","(830.61, 830.61)","(829.0099999999999, 829.0099999999999)","(829.0100000000001, 829.0100000000001)","(829.01, 829.01)","(834.8299999999999, 834.8299999999999)","(829.0100000000001, 829.0100000000001)","(829.01, 829.01)","(829.0099999999999, 829.0099999999999)","(829.0100000000001, 829.0100000000001)"
C105_200_100.csv,time,"(442.4226915836334, 444.0554060935974)","(451.51896476745605, 452.9229955673218)","(366.8133430480957, 368.2171890735626)","(221.54114317893982, 223.00914764404297)","(404.2132635116577, 405.5280442237854)","(420.31386280059814, 421.6251711845398)","(211.4609875679016, 212.82579374313354)","(386.4905824661255, 388.08802580833435)","(196.84277272224426, 198.33329582214355)","(265.4220778942108, 266.7857713699341)","(230.51506543159485, 231.93023204803467)","(153.51791667938232, 154.65291929244995)","(341.990159034729, 343.2856230735779)","(389.5938901901245, 390.8583707809448)","(336.1134819984436, 337.4103903770447)","(216.6663374900818, 217.94249320030212)","(374.53257393836975, 375.7968943119049)","(296.13469338417053, 297.25728058815)","(282.2654755115509, 283.44701743125916)","(303.1680073738098, 304.4755148887634)"
